qtl_description,qtl_id,green_band,amber_band,red_band,field,event_name,export_name,positive_condition,negative_condition,further_condition,conditional_event,conditional_field,conditional_logic
% of participants enrolled versus the expected recruitment target.,timely_recruitment,>=90%,75-89%,<75%,pdallocation,randomisation_arm_1,data_capture,NOT NULL,NULL,recruitment_target=120,,,
% of drop out for any reason,participant_retention,<10%,10-24%,>=25%,witype,withdrawal_arm_1,data_capture,=1 OR =2 OR =3,NULL OR =4,each participant counted only once,,,
% completed data for primary endpoint,endpoint_completeness,>=90%,75-89%,<75%,holfihandgrip1; holfihandgrip2; holfihandgrip3; holfichairstand; holfibalance1; holfibalance2; holfibalance3,week_12_arm_1,data_capture,NOT NULL,NULL,will only count out of participants who meet the conditional logic,week_12_arm_1,hooccuryn,=1
% of participants with one or more SAEs ,total_saes,<10%,10-24%,>=25%,aeseriousyn,initial_report_arm_1,safety_data,=1,=0,"will be counted as a total of the number of enrolled participants in timely_recruitment, participant ID defined in conditional columns but may not be required if the safety data is in the data_capture export",initial_report_arm_1,aerecordid,
% of participants with one or more related SAE,related_saes,<10%,10-24%,>=25%,aeseriousyn; aecitrialyn,initial_report_arm_1,safety_data,=1 AND =1,=0 OR =0,"will be counted as a total of the number of enrolled participants in timely_recruitment, participant ID defined in conditional columns but may not be required if the safety data is in the data_capture export",initial_report_arm_1,aerecordid,
% participants complying with IMP dosage ,imp_compliance,>=90%,75-89%,<75%,hoadhsrinstyn,week_4_arm_1,data_capture,=1,=0,will only count out of participants who meet the conditional logic,week_4_arm_1,hooccuryn,=1
