critical_data_description,critical_data_item_type,critical_data_item,event_names,field_name,variable_type,multivariate_yn,multivariate_group,required_yn
Free text description of the critical data item as it is described in the critical data item list,type of critical data item (response options: stratification_variable / primary_outcome / secondary_outcome),Free text description of the critical data item,"event name as it appears in REDCap, multiple values separated by a semicolon",field name as it appears in REDCap,type of variable (response options: cateogrical / continuous),is the variable linked to any other variables (e.g. is the variable one question in a licensed questionnaire? Or one variable in a liver function panel?) (response options: y / n),"if the previous value is y, give the multivariate group a name (e.g. eq5d5l). If there are multiple groups, sepearate them using a semicolon",is the field required (response options: y / n)
"Severity of
liver disease",sratification_variable,Child Pugh score from screening: 7-9 (moderate) and 10+ (severe),randomisation_arm_1,childpugh,categorical,n,,y
Liver Frailty Index (LFI) change at 12-weeks post baseline ,primary_outcome,Hand grip strength (3 attempts and mean),baseline_arm_1; week_12_arm_1,holfihandgrip1,continuous,y,liver_frailty_index,y
Liver Frailty Index (LFI) change at 12-weeks post baseline ,primary_outcome,Hand grip strength (3 attempts and mean),baseline_arm_1; week_12_arm_1,holfihandgrip2,continuous,y,liver_frailty_index,y
